C:\Users\jonathans\PycharmProjects\PSSEDYN\SampleSystem\OUT\out_dyntools_demo_bus154_fault.out
                     21             22      
        Time(s) VOLT 2 [BUS 2  VOLT 3 [BUS 3 
                       18.000]        13.800]
        1.20833       0.969456         1.0744
        1.21667       0.969447         1.0744
          1.225       0.969437        1.07439
        1.23333       0.969428        1.07438
        1.24167       0.969418        1.07437
           1.25       0.969409        1.07437
        1.25833       0.969399        1.07436
        1.26667       0.969389        1.07435
          1.275        0.96938        1.07434
        1.28333        0.96937        1.07434
        1.29167        0.96936        1.07433
            1.3        0.96935        1.07432
        1.30833        0.96934        1.07431
        1.31667        0.96933         1.0743
          1.325        0.96932         1.0743
        1.33333        0.96931        1.07429
        1.34167         0.9693        1.07428
           1.35        0.96929        1.07427
        1.35833        0.96928        1.07426
        1.36667        0.96927        1.07426
          1.375        0.96926        1.07425
        1.38333       0.969249        1.07424
        1.39167       0.969239        1.07423
            1.4       0.969229        1.07422
        1.40833       0.969219        1.07421
        1.41667       0.969208        1.07421
          1.425       0.969198         1.0742
        1.43333       0.969187        1.07419
        1.44167       0.969177        1.07418
           1.45       0.969167        1.07417
        1.45833       0.969156        1.07416
        1.46667       0.969146        1.07416
          1.475       0.969135        1.07415
        1.48333       0.969125        1.07414
        1.49167       0.969114        1.07413
            1.5       0.969104        1.07412
        1.50833       0.969093        1.07411
        1.51667       0.969082         1.0741
          1.525       0.969072         1.0741
        1.53333       0.969061        1.07409
        1.54167       0.969051        1.07408
           1.55        0.96904        1.07407
        1.55833        0.96903        1.07406
        1.56667       0.969019        1.07405
          1.575       0.969009        1.07405
        1.58333       0.968998        1.07404
        1.59167       0.968987        1.07403
            1.6       0.968977        1.07402
        1.60833       0.968966        1.07401
        1.61667       0.968956          1.074
          1.625       0.968945        1.07399
        1.63333       0.968935        1.07399
        1.64167       0.968924        1.07398
           1.65       0.968914        1.07397
        1.65833       0.968903        1.07396
        1.66667       0.968893        1.07395
          1.675       0.968882        1.07394
        1.68333       0.968872        1.07394
        1.69167       0.968861        1.07393
            1.7       0.968851        1.07392
        1.70833        0.96884        1.07391
        1.71667        0.96883         1.0739
          1.725        0.96882        1.07389
        1.73333       0.968809        1.07389
        1.74167       0.968799        1.07388
           1.75       0.968789        1.07387
        1.75833       0.968778        1.07386
        1.76667       0.968768        1.07385
          1.775       0.968758        1.07384
        1.78333       0.968748        1.07384
        1.79167       0.968738        1.07383
            1.8       0.968728        1.07382
        1.80833       0.968718        1.07381
        1.81667       0.968708         1.0738
          1.825       0.968698         1.0738
        1.83333       0.968688        1.07379
        1.84167       0.968678        1.07378
           1.85       0.968668        1.07377
        1.85833       0.968658        1.07376
        1.86667       0.968648        1.07376
          1.875       0.968639        1.07375
        1.88333       0.968629        1.07374
        1.89167       0.968619        1.07373
            1.9        0.96861        1.07372
        1.90833         0.9686        1.07372
        1.91667       0.968591        1.07371
          1.925       0.968581         1.0737
        1.93333       0.968572        1.07369
        1.94167       0.968563        1.07369
           1.95       0.968553        1.07368
        1.95833       0.968544        1.07367
        1.96667       0.968535        1.07366
          1.975       0.968526        1.07366
        1.98333       0.968517        1.07365
        1.99167       0.968508        1.07364
              2       0.968499        1.07363
        2.00833        0.96849        1.07363
        2.01667       0.968482        1.07362
          2.025       0.968473        1.07361
        2.03333       0.968464         1.0736
        2.04167       0.968456         1.0736
           2.05       0.968447        1.07359
        2.05833       0.968439        1.07358
        2.06667        0.96843        1.07358
          2.075       0.968422        1.07357
        2.08333       0.968414        1.07356
        2.09167       0.968406        1.07356
            2.1       0.968398        1.07355
        2.10833        0.96839        1.07354
        2.11667       0.968381        1.07354
          2.125       0.968374        1.07353
        2.13333       0.968366        1.07352
        2.14167       0.968358        1.07352
           2.15       0.968351        1.07351
        2.15833       0.968343         1.0735
        2.16667       0.968336         1.0735
          2.175       0.968328        1.07349
        2.18333       0.968321        1.07349
        2.19167       0.968314        1.07348
            2.2       0.968306        1.07347
        2.20833       0.968299        1.07347
        2.21667       0.968292        1.07346
          2.225       0.968285        1.07346
        2.23333       0.968278        1.07345
        2.24167       0.968272        1.07344
           2.25       0.968265        1.07344
        2.25834       0.968259        1.07343
        2.26667       0.968252        1.07343
          2.275       0.968246        1.07342
        2.28334       0.968239        1.07342
        2.29167       0.968233        1.07341
            2.3       0.968227        1.07341
        2.30834       0.968221         1.0734
        2.31667       0.968215        1.07339
          2.325       0.968209        1.07339
        2.33334       0.968203        1.07338
        2.34167       0.968197        1.07338
           2.35       0.968192        1.07337
        2.35834       0.968186        1.07337
        2.36667       0.968181        1.07337
          2.375       0.968175        1.07336
        2.38334        0.96817        1.07336
        2.39167       0.968165        1.07335
            2.4        0.96816        1.07335
        2.40834       0.968155        1.07334
        2.41667        0.96815        1.07334
          2.425       0.968145        1.07333
        2.43334       0.968141        1.07333
        2.44167       0.968136        1.07333
           2.45       0.968132        1.07332
        2.45834       0.968127        1.07332
        2.46667       0.968123        1.07331
          2.475       0.968119        1.07331
        2.48334       0.968114        1.07331
        2.49167       0.968111         1.0733
        2.50001       0.968107         1.0733
        2.50834       0.968103         1.0733
        2.51667       0.968099        1.07329
        2.52501       0.968095        1.07329
        2.53334       0.968092        1.07329
        2.54167       0.968088        1.07328
        2.55001       0.968085        1.07328
        2.55834       0.968082        1.07328
        2.56667       0.968079        1.07327
        2.57501       0.968076        1.07327
        2.58334       0.968073        1.07327
        2.59167        0.96807        1.07326
        2.60001       0.968067        1.07326
        2.60834       0.968064        1.07326
        2.61667       0.968062        1.07326
        2.62501       0.968059        1.07325
        2.63334       0.968057        1.07325
        2.64167       0.968055        1.07325
        2.65001       0.968053        1.07325
        2.65834        0.96805        1.07324
        2.66667       0.968048        1.07324
        2.67501       0.968047        1.07324
        2.68334       0.968045        1.07324
        2.69167       0.968043        1.07324
        2.70001       0.968041        1.07323
        2.70834        0.96804        1.07323
        2.71667       0.968039        1.07323
        2.72501       0.968037        1.07323
        2.73334       0.968036        1.07323
        2.74167       0.968035        1.07323
        2.75001       0.968034        1.07323
        2.75834       0.968033        1.07322
        2.76668       0.968032        1.07322
        2.77501       0.968032        1.07322
        2.78334       0.968031        1.07322
        2.79168       0.968031        1.07322
        2.80001        0.96803        1.07322
        2.80834        0.96803        1.07322
        2.81668        0.96803        1.07322
        2.82501       0.968029        1.07322
        2.83334       0.968029        1.07322
        2.84168       0.968029        1.07322
        2.85001        0.96803        1.07322
        2.85834        0.96803        1.07321
        2.86668        0.96803        1.07321
        2.87501       0.968031        1.07321
        2.88334       0.968031        1.07321
        2.89168       0.968032        1.07321
        2.90001       0.968032        1.07321
        2.90834       0.968033        1.07321
        2.91668       0.968034        1.07321
        2.92501       0.968035        1.07321
        2.93334       0.968036        1.07321
        2.94168       0.968037        1.07321
        2.95001       0.968038        1.07321
        2.95834        0.96804        1.07321
        2.96668       0.968041        1.07322
        2.97501       0.968043        1.07322
        2.98334       0.968044        1.07322
        2.99168       0.968046        1.07322
        3.00001       0.968048        1.07322
        3.00835        0.96805        1.07322
        3.01668       0.968052        1.07322
        3.02501       0.968054        1.07322
        3.03335       0.968056        1.07322
        3.04168       0.968058        1.07322
        3.05001        0.96806        1.07322
        3.05835       0.968063        1.07323
        3.06668       0.968065        1.07323
        3.07501       0.968068        1.07323
        3.08335        0.96807        1.07323
        3.09168       0.968073        1.07323
        3.10001       0.968076        1.07323
        3.10835       0.968079        1.07323
        3.11668       0.968082        1.07324
        3.12501       0.968085        1.07324
        3.13335       0.968088        1.07324
        3.14168       0.968091        1.07324
        3.15001       0.968094        1.07324
        3.15835       0.968097        1.07325
        3.16668       0.968101        1.07325
        3.17501       0.968104        1.07325
        3.18335       0.968108        1.07325
        3.19168       0.968112        1.07325
        3.20001       0.968115        1.07326
        3.20835       0.968119        1.07326
        3.21668       0.968123        1.07326
        3.22501       0.968127        1.07326
        3.23335       0.968131        1.07327
        3.24168       0.968135        1.07327
        3.25002       0.968139        1.07327
        3.25835       0.968143        1.07327
        3.26668       0.968148        1.07328
        3.27502       0.968152        1.07328
        3.28335       0.968156        1.07328
        3.29168       0.968161        1.07328
        3.30002       0.968166        1.07329
        3.30835        0.96817        1.07329
        3.31668       0.968175        1.07329
        3.32502        0.96818         1.0733
        3.33335       0.968184         1.0733
        3.34168       0.968189         1.0733
        3.35002       0.968194        1.07331
        3.35835       0.968199        1.07331
        3.36668       0.968204        1.07331
        3.37502        0.96821        1.07332
        3.38335       0.968215        1.07332
        3.39168        0.96822        1.07332
        3.40002       0.968225        1.07333
        3.40835       0.968231        1.07333
        3.41668       0.968236        1.07334
        3.42502       0.968242        1.07334
        3.43335       0.968247        1.07334
        3.44168       0.968253        1.07335
        3.45002       0.968258        1.07335
        3.45835       0.968264        1.07335
        3.46668        0.96827        1.07336
        3.47502       0.968276        1.07336
        3.48335       0.968281        1.07337
        3.49168       0.968287        1.07337
        3.50002       0.968293        1.07337
        3.50835       0.968299        1.07338
        3.51669       0.968305        1.07338
        3.52502       0.968312        1.07339
        3.53335       0.968318        1.07339
        3.54169       0.968324         1.0734
        3.55002        0.96833         1.0734
        3.55835       0.968337         1.0734
        3.56669       0.968343        1.07341
        3.57502       0.968349        1.07341
        3.58335       0.968356        1.07342
        3.59169       0.968362        1.07342
        3.60002       0.968369        1.07343
        3.60835       0.968375        1.07343
        3.61669       0.968382        1.07344
        3.62502       0.968389        1.07344
        3.63335       0.968395        1.07345
        3.64169       0.968402        1.07345
        3.65002       0.968409        1.07345
        3.65835       0.968416        1.07346
        3.66669       0.968423        1.07346
        3.67502       0.968429        1.07347
        3.68335       0.968436        1.07347
        3.69169       0.968443        1.07348
        3.70002        0.96845        1.07348
        3.70835       0.968457        1.07349
        3.71669       0.968464        1.07349
        3.72502       0.968471         1.0735
        3.73335       0.968479         1.0735
        3.74169       0.968486        1.07351
        3.75002       0.968493        1.07351
        3.75836         0.9685        1.07352
        3.76669       0.968507        1.07353
        3.77502       0.968515        1.07353
        3.78336       0.968522        1.07354
        3.79169       0.968529        1.07354
        3.80002       0.968536        1.07355
        3.80836       0.968544        1.07355
        3.81669       0.968551        1.07356
        3.82502       0.968559        1.07356
        3.83336       0.968566        1.07357
        3.84169       0.968574        1.07357
        3.85002       0.968581        1.07358
        3.85836       0.968588        1.07358
        3.86669       0.968596        1.07359
        3.87502       0.968604        1.07359
        3.88336       0.968611         1.0736
        3.89169       0.968619        1.07361
        3.90002       0.968626        1.07361
        3.90836       0.968634        1.07362
        3.91669       0.968641        1.07362
        3.92502       0.968649        1.07363
        3.93336       0.968657        1.07363
        3.94169       0.968664        1.07364
        3.95002       0.968672        1.07365
        3.95836        0.96868        1.07365
        3.96669       0.968688        1.07366
        3.97502       0.968695        1.07366
        3.98336       0.968703        1.07367
        3.99169       0.968711        1.07367
        4.00002       0.968718        1.07368
        4.00836       0.968726        1.07368
        4.01669       0.968734        1.07369
        4.02502       0.968742         1.0737
        4.03336       0.968749         1.0737
        4.04169       0.968757        1.07371
        4.05002       0.968765        1.07371
        4.05836       0.968773        1.07372
        4.06669       0.968781        1.07373
        4.07502       0.968788        1.07373
        4.08336       0.968796        1.07374
        4.09169       0.968804        1.07374
        4.10002       0.968812        1.07375
        4.10836        0.96882        1.07375
        4.11669       0.968827        1.07376
        4.12502       0.968835        1.07377
        4.13336       0.968843        1.07377
        4.14169       0.968851        1.07378
        4.15002       0.968859        1.07378
        4.15836       0.968866        1.07379
        4.16669       0.968874         1.0738
        4.17502       0.968882         1.0738
        4.18336        0.96889        1.07381
        4.19169       0.968898        1.07381
        4.20002       0.968905        1.07382
        4.20835       0.968913        1.07382
        4.21669       0.968921        1.07383
        4.22502       0.968929        1.07384
        4.23335       0.968937        1.07384
        4.24169       0.968944        1.07385
        4.25002       0.968952        1.07385
        4.25835        0.96896        1.07386
        4.26669       0.968968        1.07387
        4.27502       0.968975        1.07387
        4.28335       0.968983        1.07388
        4.29169       0.968991        1.07388
        4.30002       0.968998        1.07389
        4.30835       0.969006         1.0739
        4.31669       0.969014         1.0739
        4.32502       0.969021        1.07391
        4.33335       0.969029        1.07391
        4.34169       0.969037        1.07392
        4.35002       0.969044        1.07392
        4.35835       0.969052        1.07393
        4.36669        0.96906        1.07394
        4.37502       0.969067        1.07394
        4.38335       0.969075        1.07395
        4.39169       0.969082        1.07395
        4.40002        0.96909        1.07396
        4.40835       0.969097        1.07397
        4.41669       0.969105        1.07397
        4.42502       0.969112        1.07398
        4.43335        0.96912        1.07398
        4.44168       0.969127        1.07399
        4.45002       0.969135        1.07399
        4.45835       0.969142          1.074
        4.46668       0.969149        1.07401
        4.47502       0.969157        1.07401
        4.48335       0.969164        1.07402
        4.49168       0.969171        1.07402
        4.50002       0.969178        1.07403
        4.50835       0.969186        1.07403
        4.51668       0.969193        1.07404
        4.52502         0.9692        1.07404
        4.53335       0.969208        1.07405
        4.54168       0.969215        1.07406
        4.55002       0.969222        1.07406
        4.55835       0.969229        1.07407
        4.56668       0.969236        1.07407
        4.57502       0.969243        1.07408
        4.58335        0.96925        1.07408
        4.59168       0.969257        1.07409
        4.60002       0.969264         1.0741
        4.60835       0.969271         1.0741
        4.61668       0.969278        1.07411
        4.62502       0.969285        1.07411
        4.63335       0.969292        1.07412
        4.64168       0.969299        1.07412
        4.65001       0.969306        1.07413
        4.65835       0.969313        1.07413
        4.66668        0.96932        1.07414
        4.67501       0.969327        1.07414
        4.68335       0.969333        1.07415
        4.69168        0.96934        1.07415
        4.70001       0.969347        1.07416
        4.70835       0.969354        1.07417
        4.71668        0.96936        1.07417
        4.72501       0.969367        1.07418
        4.73335       0.969373        1.07418
        4.74168        0.96938        1.07419
        4.75001       0.969387        1.07419
        4.75835       0.969393         1.0742
        4.76668         0.9694         1.0742
        4.77501       0.969406        1.07421
        4.78335       0.969412        1.07421
        4.79168       0.969419        1.07422
        4.80001       0.969425        1.07422
        4.80835       0.969432        1.07423
        4.81668       0.969438        1.07423
        4.82501       0.969444        1.07424
        4.83335        0.96945        1.07424
        4.84168       0.969457        1.07425
        4.85001       0.969463        1.07425
        4.85835       0.969469        1.07426
        4.86668       0.969475        1.07426
        4.87501       0.969481        1.07427
        4.88334       0.969487        1.07427
        4.89168       0.969493        1.07428
        4.90001       0.969499        1.07428
        4.90834       0.969505        1.07429
        4.91668       0.969511        1.07429
        4.92501       0.969517         1.0743
        4.93334       0.969523         1.0743
        4.94168       0.969529        1.07431
        4.95001       0.969535        1.07431
        4.95834        0.96954        1.07432
        4.96668       0.969546        1.07432
        4.97501       0.969552        1.07433
        4.98334       0.969558        1.07433
        4.99168       0.969563        1.07434
        5.00001       0.969569        1.07434
        5.00834       0.969575        1.07434
        5.01668        0.96958        1.07435
        5.02501       0.969586        1.07435
        5.03334       0.969591        1.07436
        5.04168       0.969597        1.07436
        5.05001       0.969602        1.07437
        5.05834       0.969607        1.07437
        5.06668       0.969613        1.07438
        5.07501       0.969618        1.07438
        5.08334       0.969623        1.07439
        5.09167       0.969629        1.07439
        5.10001       0.969634        1.07439
        5.10834       0.969639         1.0744
        5.11667       0.969644         1.0744
        5.12501       0.969649        1.07441
        5.13334       0.969655        1.07441
        5.14167        0.96966        1.07442
        5.15001       0.969665        1.07442
        5.15834        0.96967        1.07442
        5.16667       0.969675        1.07443
        5.17501       0.969679        1.07443
        5.18334       0.969684        1.07444
        5.19167       0.969689        1.07444
        5.20001       0.969694        1.07445
        5.20834       0.969699        1.07445
        5.21667       0.969704        1.07445
        5.22501       0.969708        1.07446
        5.23334       0.969713        1.07446
        5.24167       0.969718        1.07447
        5.25001       0.969722        1.07447
        5.25834       0.969727        1.07447
        5.26667       0.969732        1.07448
        5.27501       0.969736        1.07448
        5.28334       0.969741        1.07449
        5.29167       0.969745        1.07449
            5.3        0.96975        1.07449
        5.30834       0.969754         1.0745
        5.31667       0.969759         1.0745
          5.325       0.969763        1.07451
        5.33334       0.969767        1.07451
        5.34167       0.969772        1.07451
           5.35       0.969776        1.07452
        5.35834        0.96978        1.07452
        5.36667       0.969784        1.07452
          5.375       0.969788        1.07453
        5.38334       0.969793        1.07453
        5.39167       0.969797        1.07454
            5.4       0.969801        1.07454
        5.40834       0.969805        1.07454
        5.41667       0.969809        1.07455
          5.425       0.969813        1.07455
        5.43334       0.969817        1.07455
        5.44167       0.969821        1.07456
           5.45       0.969825        1.07456
        5.45834       0.969828        1.07456
        5.46667       0.969832        1.07457
          5.475       0.969836        1.07457
        5.48334        0.96984        1.07457
        5.49167       0.969844        1.07458
            5.5       0.969847        1.07458
        5.50834       0.969851        1.07458
        5.51667       0.969855        1.07459
          5.525       0.969858        1.07459
        5.53333       0.969862        1.07459
        5.54167       0.969866         1.0746
           5.55       0.969869         1.0746
        5.55833       0.969873         1.0746
        5.56667       0.969876        1.07461
          5.575        0.96988        1.07461
        5.58333       0.969883        1.07461
        5.59167       0.969887        1.07462
            5.6        0.96989        1.07462
        5.60833       0.969893        1.07462
        5.61667       0.969897        1.07463
          5.625         0.9699        1.07463
        5.63333       0.969903        1.07463
        5.64167       0.969906        1.07464
           5.65        0.96991        1.07464
        5.65833       0.969913        1.07464
        5.66667       0.969916        1.07464
          5.675       0.969919        1.07465
        5.68333       0.969922        1.07465
        5.69167       0.969925        1.07465
            5.7       0.969928        1.07466
        5.70833       0.969931        1.07466
        5.71667       0.969935        1.07466
          5.725       0.969938        1.07467
        5.73333       0.969941        1.07467
        5.74166       0.969944        1.07467
           5.75       0.969946        1.07467
        5.75833       0.969949        1.07468
        5.76666       0.969952        1.07468
          5.775       0.969955        1.07468
        5.78333       0.969958        1.07469
        5.79166       0.969961        1.07469
            5.8       0.969964        1.07469
        5.80833       0.969966        1.07469
        5.81666       0.969969         1.0747
          5.825       0.969972         1.0747
        5.83333       0.969974         1.0747
        5.84166       0.969977         1.0747
           5.85        0.96998        1.07471
        5.85833       0.969982        1.07471
        5.86666       0.969985        1.07471
          5.875       0.969988        1.07472
        5.88333        0.96999        1.07472
        5.89166       0.969993        1.07472
            5.9       0.969995        1.07472
        5.90833       0.969998        1.07473
        5.91666           0.97        1.07473
          5.925       0.970003        1.07473
        5.93333       0.970005        1.07473
        5.94166       0.970008        1.07474
           5.95        0.97001        1.07474
        5.95833       0.970012        1.07474
        5.96666       0.970015        1.07474
        5.97499       0.970017        1.07475
        5.98333        0.97002        1.07475
        5.99166       0.970022        1.07475
        5.99999       0.970024        1.07475
        6.00833       0.970026        1.07475
        6.01666       0.970029        1.07476
        6.02499       0.970031        1.07476
        6.03333       0.970033        1.07476
        6.04166       0.970036        1.07476
        6.04999       0.970038        1.07477
        6.05833        0.97004        1.07477
        6.06666       0.970042        1.07477
        6.07499       0.970044        1.07477
        6.08333       0.970046        1.07478
        6.09166       0.970048        1.07478
        6.09999       0.970051        1.07478
        6.10833       0.970053        1.07478
        6.11666       0.970055        1.07478
        6.12499       0.970057        1.07479
        6.13333       0.970059        1.07479
        6.14166       0.970061        1.07479
        6.14999       0.970063        1.07479
        6.15833       0.970065         1.0748
        6.16666       0.970067         1.0748
        6.17499       0.970069         1.0748
        6.18332       0.970071         1.0748
        6.19166       0.970073         1.0748
        6.19999       0.970075        1.07481
        6.20832       0.970077        1.07481
        6.21666       0.970079        1.07481
        6.22499        0.97008        1.07481
        6.23332       0.970082        1.07482
        6.24166       0.970084        1.07482
        6.24999       0.970086        1.07482
        6.25832       0.970088        1.07482
        6.26666        0.97009        1.07482
        6.27499       0.970092        1.07483
        6.28332       0.970093        1.07483
        6.29166       0.970095        1.07483
        6.29999       0.970097        1.07483
        6.30832       0.970099        1.07483
        6.31666       0.970101        1.07484
        6.32499       0.970102        1.07484
        6.33332       0.970104        1.07484
        6.34166       0.970106        1.07484
        6.34999       0.970108        1.07484
        6.35832       0.970109        1.07485
        6.36666       0.970111        1.07485
        6.37499       0.970113        1.07485
        6.38332       0.970114        1.07485
        6.39165       0.970116        1.07485
        6.39999       0.970118        1.07485
        6.40832        0.97012        1.07486
        6.41665       0.970121        1.07486
        6.42499       0.970123        1.07486
        6.43332       0.970125        1.07486
        6.44165       0.970126        1.07486
        6.44999       0.970128        1.07487
        6.45832       0.970129        1.07487
        6.46665       0.970131        1.07487
        6.47499       0.970133        1.07487
        6.48332       0.970134        1.07487
        6.49165       0.970136        1.07488
        6.49999       0.970137        1.07488
        6.50832       0.970139        1.07488
        6.51665       0.970141        1.07488
        6.52499       0.970142        1.07488
        6.53332       0.970144        1.07489
        6.54165       0.970145        1.07489
        6.54999       0.970147        1.07489
        6.55832       0.970148        1.07489
        6.56665        0.97015        1.07489
        6.57499       0.970152        1.07489
        6.58332       0.970153         1.0749
        6.59165       0.970155         1.0749
        6.59999       0.970156         1.0749
        6.60832       0.970158         1.0749
        6.61665       0.970159         1.0749
        6.62498       0.970161        1.07491
        6.63332       0.970162        1.07491
        6.64165       0.970164        1.07491
        6.64998       0.970165        1.07491
        6.65832       0.970167        1.07491
        6.66665       0.970168        1.07491
        6.67498        0.97017        1.07492
        6.68332       0.970171        1.07492
        6.69165       0.970173        1.07492
        6.69998       0.970174        1.07492
        6.70832       0.970176        1.07492
        6.71665       0.970177        1.07492
        6.72498       0.970179        1.07493
        6.73332        0.97018        1.07493
        6.74165       0.970182        1.07493
        6.74998       0.970183        1.07493
        6.75832       0.970185        1.07493
        6.76665       0.970186        1.07493
        6.77498       0.970187        1.07494
        6.78332       0.970189        1.07494
        6.79165        0.97019        1.07494
        6.79998       0.970192        1.07494
        6.80832       0.970193        1.07494
        6.81665       0.970195        1.07495
        6.82498       0.970196        1.07495
        6.83331       0.970198        1.07495
        6.84165       0.970199        1.07495
        6.84998         0.9702        1.07495
        6.85831       0.970202        1.07495
        6.86665       0.970203        1.07496
        6.87498       0.970205        1.07496
        6.88331       0.970206        1.07496
        6.89165       0.970208        1.07496
        6.89998       0.970209        1.07496
        6.90831        0.97021        1.07496
        6.91665       0.970212        1.07497
        6.92498       0.970213        1.07497
        6.93331       0.970215        1.07497
        6.94165       0.970216        1.07497
        6.94998       0.970218        1.07497
        6.95831       0.970219        1.07497
        6.96665        0.97022        1.07498
        6.97498       0.970222        1.07498
        6.98331       0.970223        1.07498
        6.99165       0.970225        1.07498
        6.99998       0.970226        1.07498
        7.00831       0.970227        1.07498
        7.01665       0.970229        1.07499
        7.02498        0.97023        1.07499
        7.03331       0.970232        1.07499
        7.04165       0.970233        1.07499
        7.04998       0.970235        1.07499
        7.05831       0.970236        1.07499
        7.06664       0.970238          1.075
        7.07498       0.970239          1.075
        7.08331       0.970241          1.075
        7.09164       0.970242          1.075
        7.09998       0.970244          1.075
        7.10831       0.970245          1.075
        7.11664       0.970246        1.07501
        7.12498       0.970248        1.07501
        7.13331       0.970249        1.07501
        7.14164       0.970251        1.07501
        7.14998       0.970252        1.07501
        7.15831       0.970254        1.07501
        7.16664       0.970255        1.07502
        7.17498       0.970257        1.07502
        7.18331       0.970258        1.07502
        7.19164        0.97026        1.07502
        7.19998       0.970261        1.07502
        7.20831       0.970262        1.07502
